model_name,sample_id,feature,weight,absolute_weight,rank,predicted_class,predicted_probability,true_label
Bayesian,0,cat__cholesterol_3 <= 0.00,-0.6590924274295092,0.6590924274295092,1,0,0.060586625109791147,1
Bayesian,0,cat__gluc_3 <= 0.00,-0.4647051301249537,0.4647051301249537,2,0,0.060586625109791147,1
Bayesian,0,cat__gluc_2 <= 0.00,-0.3837975818902571,0.3837975818902571,3,0,0.060586625109791147,1
Bayesian,0,cat__cholesterol_2 <= 0.00,-0.22330684715185023,0.22330684715185023,4,0,0.060586625109791147,1
Bayesian,0,num__weight > 0.54,0.11413173686249843,0.11413173686249843,5,0,0.060586625109791147,1
Bayesian,0,-0.06 < num__ap_hi <= 0.09,-0.08802725402076951,0.08802725402076951,6,0,0.060586625109791147,1
Bayesian,0,cat__alco_1 <= 0.00,0.0668179030390992,0.0668179030390992,7,0,0.060586625109791147,1
Bayesian,0,cat__smoke_1 > 0.00,-0.06542177408944547,0.06542177408944547,8,0,0.060586625109791147,1
Bayesian,0,-0.09 < num__ap_lo <= -0.04,-0.04648190748512495,0.04648190748512495,9,0,0.060586625109791147,1
Bayesian,0,0.08 < num__height <= 0.69,-0.014667460529516113,0.014667460529516113,10,0,0.060586625109791147,1
Bayesian,1,cat__cholesterol_3 > 0.00,0.6666499345926316,0.6666499345926316,1,1,0.985311342957195,0
Bayesian,1,cat__gluc_3 <= 0.00,-0.4607809909892111,0.4607809909892111,2,1,0.985311342957195,0
Bayesian,1,cat__gluc_2 <= 0.00,-0.3772208701892376,0.3772208701892376,3,1,0.985311342957195,0
Bayesian,1,cat__cholesterol_2 <= 0.00,-0.20698928944356995,0.20698928944356995,4,1,0.985311342957195,0
Bayesian,1,num__weight > 0.54,0.11474310045235198,0.11474310045235198,5,1,0.985311342957195,0
Bayesian,1,num__age <= -0.73,-0.10160725007705021,0.10160725007705021,6,1,0.985311342957195,0
Bayesian,1,cat__alco_1 <= 0.00,0.07959962786898174,0.07959962786898174,7,1,0.985311342957195,0
Bayesian,1,-0.06 < num__ap_hi <= 0.09,-0.0711837248561543,0.0711837248561543,8,1,0.985311342957195,0
Bayesian,1,cat__smoke_1 <= 0.00,0.05796096542862926,0.05796096542862926,9,1,0.985311342957195,0
Bayesian,1,-0.09 < num__ap_lo <= -0.04,-0.02957705676670541,0.02957705676670541,10,1,0.985311342957195,0
Bayesian,2,cat__cholesterol_3 <= 0.00,-0.6567076481875517,0.6567076481875517,1,0,0.04965398193949174,0
Bayesian,2,cat__gluc_3 <= 0.00,-0.4420192396375656,0.4420192396375656,2,0,0.04965398193949174,0
Bayesian,2,cat__gluc_2 <= 0.00,-0.38310434047016684,0.38310434047016684,3,0,0.04965398193949174,0
