FPR,TPR,Threshold
0.0,0.0,inf
0.0008566533409480297,0.002572898799313894,1.0
0.005139920045688178,0.021869639794168096,0.95
0.013135351227869789,0.06132075471698113,0.9
0.02741290691033695,0.123642081189251,0.85
0.049971444888635065,0.19411092052601486,0.8
0.07267275842375785,0.2741566609491138,0.75
0.11107938320959451,0.3599199542595769,0.7
0.1529126213592233,0.44639794168096053,0.65
0.20559680182752713,0.5257289879931389,0.6
0.27141633352370076,0.6084905660377359,0.55
0.34180468303826383,0.6835334476843911,0.5
0.4184751570531125,0.7520011435105775,0.45
0.49685893774985723,0.8183247570040023,0.4
0.586093660765277,0.866923956546598,0.35
0.6808966304968589,0.9120926243567753,0.3
0.7709880068532268,0.9468267581475128,0.25
0.8470873786407767,0.9724128073184677,0.2
0.9149057681324957,0.9869925671812464,0.15
0.9618789263278127,0.9947112635791882,0.1
0.989149057681325,0.9988564894225271,0.05
1.0,1.0,0.0
