model_name,sample_id,feature,weight,absolute_weight,rank,predicted_class,predicted_probability,true_label
MLP,0,ap_hi <= -0.40,-0.15128417090845972,0.15128417090845972,1,0,0.24702250957489014,0
MLP,0,map <= -0.28,-0.11911550292584272,0.11911550292584272,2,0,0.24702250957489014,0
MLP,0,ap_lo <= -0.14,-0.09677056413595733,0.09677056413595733,3,0,0.24702250957489014,0
MLP,0,height > 0.70,-0.04541839919867905,0.04541839919867905,4,0,0.24702250957489014,0
MLP,0,-0.74 < age <= 0.09,-0.03737812614528249,0.03737812614528249,5,0,0.24702250957489014,0
MLP,0,-0.46 < pulse_pressure <= 0.40,0.026897724774265507,0.026897724774265507,6,0,0.24702250957489014,0
MLP,0,-0.63 < weight <= -0.15,-0.01751705308808447,0.01751705308808447,7,0,0.24702250957489014,0
MLP,0,-0.67 < bmi <= -0.22,-0.0009708635265440361,0.0009708635265440361,8,0,0.24702250957489014,0
MLP,1,ap_hi <= -0.40,-0.14846541893287055,0.14846541893287055,1,0,0.3687346279621124,1
MLP,1,pulse_pressure <= -0.46,-0.12419612114714838,0.12419612114714838,2,0,0.3687346279621124,1
MLP,1,map <= -0.28,-0.12050456239103616,0.12050456239103616,3,0,0.3687346279621124,1
MLP,1,ap_lo <= -0.14,-0.10581109656785748,0.10581109656785748,4,0,0.3687346279621124,1
MLP,1,weight <= -0.63,-0.07250858719493845,0.07250858719493845,5,0,0.3687346279621124,1
MLP,1,0.09 < age <= 0.76,0.029614991261068365,0.029614991261068365,6,0,0.3687346279621124,1
MLP,1,bmi <= -0.67,-0.02711913100671736,0.02711913100671736,7,0,0.3687346279621124,1
MLP,1,-0.68 < height <= 0.08,0.010851990752802455,0.010851990752802455,8,0,0.3687346279621124,1
MLP,2,ap_hi <= -0.40,-0.15379969557267867,0.15379969557267867,1,0,0.11990716308355331,1
MLP,2,age <= -0.74,-0.1492548156423841,0.1492548156423841,2,0,0.11990716308355331,1
MLP,2,pulse_pressure <= -0.46,-0.12455379394244459,0.12455379394244459,3,0,0.11990716308355331,1
MLP,2,map <= -0.28,-0.12219059257545256,0.12219059257545256,4,0,0.11990716308355331,1
MLP,2,ap_lo <= -0.14,-0.10386046619132334,0.10386046619132334,5,0,0.11990716308355331,1
MLP,2,-0.15 < weight <= 0.55,0.020976380632690517,0.020976380632690517,6,0,0.11990716308355331,1
MLP,2,-0.68 < height <= 0.08,0.008660808190816938,0.008660808190816938,7,0,0.11990716308355331,1
MLP,2,-0.22 < bmi <= 0.50,0.0034071097586260367,0.0034071097586260367,8,0,0.11990716308355331,1
MLP,3,age > 0.76,0.15957071377757237,0.15957071377757237,1,1,0.6120643615722656,1
MLP,3,ap_hi <= -0.40,-0.1495103509034364,0.1495103509034364,2,1,0.6120643615722656,1
MLP,3,map <= -0.28,-0.12887435965125185,0.12887435965125185,3,1,0.6120643615722656,1
MLP,3,pulse_pressure <= -0.46,-0.12066107581205779,0.12066107581205779,4,1,0.6120643615722656,1
MLP,3,ap_lo <= -0.14,-0.10707960004331996,0.10707960004331996,5,1,0.6120643615722656,1
MLP,3,weight <= -0.63,-0.07181403789007361,0.07181403789007361,6,1,0.6120643615722656,1
MLP,3,height <= -0.68,0.03220455112798646,0.03220455112798646,7,1,0.6120643615722656,1
MLP,3,-0.67 < bmi <= -0.22,-0.011370644354503386,0.011370644354503386,8,1,0.6120643615722656,1
MLP,4,pulse_pressure > 0.40,0.1764314597548546,0.1764314597548546,1,1,0.622093915939331,0
MLP,4,age > 0.76,0.15397019726744435,0.15397019726744435,2,1,0.622093915939331,0
MLP,4,ap_lo <= -0.14,-0.12412704317011392,0.12412704317011392,3,1,0.622093915939331,0
